col0,col1,col2,col3
F. Freeling,1764-8-25,1836-7-10,1764-8-25
F. Champneys,1848-3-25,1930-2-4,1848-3-25
F. Dalberg-Acton,1801-7-24,1837-1-31,1801-7-24
E. M. Harvey,1867-0-0,1955-0-0,1867-0-0
E. Craig,1859-0-0,1933-4-9,1859-0-0
E. Ohlson,1873-7-19,1934-3-20,1873-7-19
E. d. Bouverie,1690-0-0,1736-11-21,1690-0-0
E. Manningham-Buller,1800-7-19,1882-9-22,1800-7-19
E. M. Edgar,1876-2-27,1934-10-7,1876-2-27
E. Irby,1676-7-31,1718-11-11,1676-7-31
E. Findlay,1902-6-14,1962-9-6,1902-6-14
C. Ackroyd,1892-9-4,1973-4-11,1892-9-4
C. Ebrahim,1840-10-21,1924-9-26,1840-10-21
C. Cory-Wright,1838-8-11,1909-5-30,1838-8-11
C. Renshaw,1848-12-9,1918-3-6,1848-12-9
C. Jessel,1860-5-11,1928-7-15,1860-5-11
C. Gladstone,1888-10-28,1968-4-28,1888-10-28
C. C. Lloyd,1706-1-1,1729-2-25,1706-1-1
B. Beauchamp,1897-5-5,1976-8-25,1897-5-5
B. Waley-Cohen,1914-5-29,1991-7-3,1914-5-29
A. Cayzer,1876-1-21,1943-2-28,1876-1-21
A. Cory-Wright,1869-11-18,1951-4-21,1869-11-18
A. Birkmyre,1875-0-0,1935-6-24,1875-0-0
A. G. Acland,1916-8-17,1983-12-14,1916-8-17
A. Aucher,1614-1-1,1692-5-31,1614-1-1
A. Lauder,1702-5-8,1769-3-6,1702-5-8
A. Armstrong,1786-10-19,1863-1-27,1786-10-19
A. Erskine-Hill,1894-4-3,1947-6-6,1894-4-3
A. Janssen,1699-0-0,1765-0-0,1699-0-0
